;Pays;latitude;longitude
Ambassade de France;MOLDAVIE;47.0164874833395;28.8267731666565
Ambassade de France;MONACO;43.7490745814326;7.43390254676342
Ambassade de France;MONGOLIE;47.916960430342;106.913709640503
Ambassade de France;MONTENEGRO;42.4445790353286;19.274708032608
Ambassade de France;MOZAMBIQUE;-25.9604225005416;32.601842880249
Ambassade de France;NAMIBIE;-22.5551136262957;17.0846077846558
Ambassade de France;NEPAL;27.7200520732659;85.3194487094879
Ambassade de France;NICARAGUA;12.146971;-86.286026
Ambassade de France;NIGER;13.524683;2.078116
Ambassade de France;NIGERIA;9.0799551398898;7.50682711601257
Ambassade de France;NORVEGE;59.9132354;10.7056769
Ambassade de France;NOUVELLE-ZELANDE;-41.290198;174.7754
Ambassade de France;OMAN;23.603947;58.426874
Ambassade de France;OUGANDA;0.320061;32.576678
Ambassade de France;OUZBEKISTAN;41.305005;69.286467
Ambassade de France;PAKISTAN;33.7167368556532;73.1061348306885
Ambassade de France;PANAMA;8.950267;-79.532374
Ambassade de France;PAPOUASIE-NOUVELLE-GUINEE;-9.47757725660367;147.150760889053
Ambassade de France;PARAGUAY;-25.2862712218343;-57.6158612966537
Ambassade de France;PAYS-BAS;52.0829998513771;4.31618347672122
Ambassade de France;PEROU;-12.0998102731407;-77.0318305492401
Ambassade de France;PHILIPPINES;14.5608714199446;121.02723484736
Ambassade de France;POLOGNE;52.2237039;21.0272789
Ambassade de France;PORTUGAL;38.7072884;-9.1566018
Ambassade de France;QATAR;25.3299314477018;51.5366281865082
Ambassade de France;REPUBLIQUE CENTRAFRICAINE;4.363025;18.590508
Ambassade de France;REPUBLIQUE DEMOCRATIQUE DU CONGO;-4.320709;15.273254
Ambassade de France;REPUBLIQUE DOMINICAINE;18.474394;-69.882969
Ambassade de France;REPUBLIQUE TCHEQUE;50.0859249;14.4063104
Ambassade de France;ROUMANIE;44.445036299878;26.0946113085984
Ambassade de France;ROYAUME-UNI;51.5024146378508;-0.158287581723016
Ambassade de France;RUSSIE;55.732073;37.613823
Ambassade de France;RWANDA;-1.94860861316024;30.0667417962952
Ambassade de France;SAINTE-LUCIE;14.020162;-60.998036
Ambassade de France;SALVADOR;13.7030928275614;-89.2302103929291
Ambassade de France;SAMOA;-41.290198;174.7754
Ambassade de France;SENEGAL;14.668372;-17.427627
Ambassade de France;SERBIE;44.8190234769857;20.4526466269837
Ambassade de France;SEYCHELLES;-4.63007810019149;55.4564158439637
Ambassade de France;SIERRA LEONE;8.47167007972223;-13.2709130635071
Ambassade de France;SINGAPOUR;1.322199;103.814122
Ambassade de France;SLOVAQUIE;48.143736;17.108711
Ambassade de France;SLOVENIE;46.0460283000118;14.5012559650818
Ambassade de France;SOUDAN;15.5807353678423;32.5468031187713
Ambassade de France;SOUDAN DU SUD;4.85463358841519;31.5865521414307
Ambassade de France;SRI LANKA;6.91456189198361;79.8724034059738
Ambassade de France;SUEDE;59.3388563;18.0792352
Ambassade de France;SUISSE;46.9470048;7.4664921
Ambassade de France;SURINAME;5.82763589920547;-55.1532885423279
Ambassade de France;SYRIE;33.5253952000879;36.285677
Ambassade de France;TADJIKISTAN;38.614624;68.78088
Ambassade de France;TANZANIE;-6.789127;39.278606
Ambassade de France;TCHAD;12.116254;15.030836
Ambassade de France;THAILANDE;13.697892;100.497919
Ambassade de France;TIMOR EST;-6.196992;106.822684
Ambassade de France;TOGO;6.121908;1.220886
Ambassade de France;TONGA;-18.138154;178.42481
Ambassade de France;TRINITE ET TOBAGO;10.6658509771677;-61.5191665928955
Ambassade de France;TUNISIE;36.798942;10.179153
Ambassade de France;TURKMENISTAN;37.953496;58.3611368333333
Ambassade de France;TURQUIE;39.902572;32.856791
Ambassade de France;UKRAINE;50.453954;30.507938
Ambassade de France;URUGUAY;-34.903405;-56.198194
Ambassade de France;VANUATU;-17.7371192825675;168.313581932541
Ambassade de France;VENEZUELA;10.483375384719;-66.8597531779099
Ambassade de France;VIETNAM;21.020992;105.850586
Ambassade de France;YEMEN;15.335625;44.200899
Ambassade de France;ZAMBIE;-15.420095;28.304595
Ambassade de France;ZIMBABWE;-17.826134;31.048617
