Annee;2013;2014;2015;2016;2017;2018;;;;;;;
MALI;5 256;6 158;7 307;8 056;8 577;8 739;;;;;;;
MALTE;600;682;748;966;1 128;1 305;;;;;;;
MAROC;46 995;49 195;51 109;52 728;54 043;54 674;;;;;;;
MAURICE;10 322;10 589;10 629;11 367;11 778;11 650;;;;;;;
MAURITANIE;1 915;1 868;1 756;1 713;1 703;1 892;;;;;;;
MEXIQUE;17 690;17 728;18 537;18 235;18 745;19 813;;;;;;;
MOLDAVIE;90;87;94;90;91;76;;;;;;;
MONACO;7 865;7 731;7 692;7 697;7 728;7 503;;;;;;;
MONGOLIE;152;156;129;109;103;99;;;;;;;
MONTENEGRO;120;133;132;135;144;147;;;;;;;
MOZAMBIQUE;515;516;564;618;611;577;;;;;;;
NAMIBIE;257;259;239;234;225;196;;;;;;;
NEPAL;248;248;212;225;224;207;;;;;;;
NICARAGUA;687;707;749;787;699;686;;;;;;;
NIGER;1 648;1 681;1 477;1 428;1 502;1 405;;;;;;;
NIGERIA;1 674;1 732;1 678;1 594;1 485;1 358;;;;;;;
NORVEGE;5 111;4 854;4 682;5 191;5 576;5 738;;;;;;;
NOUVELLE-ZELANDE;3 612;4 035;4 400;4 685;5 218;5 410;;;;;;;
OMAN;769;785;795;779;812;792;;;;;;;
OUGANDA;417;440;380;333;357;406;;;;;;;
OUZBEKISTAN;88;87;97;105;106;135;;;;;;;
PAKISTAN;555;562;551;558;551;541;;;;;;;
PANAMA;1 428;1 660;1 722;1 822;1 926;1 825;;;;;;;
PAPOUASIE-NOUVELLE-GUINEE;134;102;69;77;85;80;;;;;;;
PARAGUAY;1 494;1 497;1 529;1 319;1 313;1 227;;;;;;;
PAYS-BAS;23 448;23 753;24 001;25 685;26 131;25 920;;;;;;;
PEROU;3 699;3 804;3 732;3 921;3 945;3 770;;;;;;;
PHILIPPINES;2 507;2 781;2 926;3 034;3 136;3 173;;;;;;;
POLOGNE;6 067;6 247;6 170;6 195;6 436;6 274;;;;;;;
PORTUGAL;15 472;15 181;15 284;16 488;17 432;16 611;;;;;;;
QATAR;3 664;3 808;4 091;4 513;4 558;4 607;;;;;;;
REP. DEMOCRAT. DU CONGO;2 630;2 586;2 622;2 693;2 695;2 543;;;;;;;
REP. DOMINICAINE ;3 994;4 029;4 106;4 023;3 850;3 804;;;;;;;
REPUBLIQUE TCHEQUE ;3 403;3 667;4 017;4 453;4 707;4 762;;;;;;;
ROUMANIE;3 075;3 337;3 562;3 945;4 149;4 131;;;;;;;
ROYAUME-UNI;126 239;126 804;127 837;140 224;147 506;146 213;;;;;;;
RUSSIE;6 093;5 961;5 755;5 463;5 264;5 022;;;;;;;
RWANDA;324;328;303;365;381;356;;;;;;;
SAINTE-LUCIE;786;890;926;876;1 180;1 124;;;;;;;
SAINT-SIEGE;0;0;0;0;0;0;;;;;;;
SALVADOR;727;667;624;604;576;557;;;;;;;
SENEGAL;19 661;20 194;20 252;20 299;20 374;21 339;;;;;;;
SERBIE;1 397;1 417;1 576;1 620;1 735;1 795;;;;;;;
SEYCHELLES;535;563;602;581;573;495;;;;;;;
SIERRA LEONE;0;0;0;0;0;0;;;;;;;
SINGAPOUR;10 526;11 415;12 000;13 952;14 576;14 400;;;;;;;
SLOVAQUIE;830;834;841;967;1 030;1 050;;;;;;;
SLOVENIE;679;713;720;735;740;746;;;;;;;
SOMALIE;0;0;0;0;0;0;;;;;;;
SOUDAN;209;212;239;251;242;244;;;;;;;
SOUDAN DU SUD;109;124;90;88;68;71;;;;;;;
SRI LANKA;486;488;529;591;644;686;;;;;;;
SUEDE;6 785;6 723;7 075;7 654;8 261;8 819;;;;;;;
SUISSE;163 600;167 207;175 700;179 597;187 232;188 691;;;;;;;
SURINAME;259;248;239;236;226;226;;;;;;;
SYRIE;1 397;1 089;814;573;600;599;;;;;;;
TADJIKISTAN;54;66;54;36;25;23;;;;;;;
TAIWAN;1 678;1 778;1 961;2 124;2 231;2 233;;;;;;;
TANZANIE;672;664;744;681;660;629;;;;;;;
TCHAD;1 306;1 444;1 483;1 454;1 442;1 377;;;;;;;
THAILANDE;9 937;10 923;11 899;12 544;12 974;13 321;;;;;;;
TOGO;2 855;2 806;2 740;2 588;2 573;2 671;;;;;;;
TRINITE-ET-TOBAGO;649;663;638;553;391;350;;;;;;;
TUNISIE;23 042;23 279;21 932;22 438;23 324;23 539;;;;;;;
TURKMENISTAN;403;313;185;95;69;96;;;;;;;
TURQUIE;7 916;8 470;9 029;9 851;10 895;11 694;;;;;;;
UKRAINE;928;938;850;887;859;878;;;;;;;
URUGUAY;2 869;2 909;2 955;2 928;3 011;2 931;;;;;;;
VANUATU;1 978;1 947;1 840;1 900;1 898;1 919;;;;;;;
VENEZUELA;4 580;4 538;4 456;4 231;4 081;3 675;;;;;;;
VIET NAM;6 646;7 035;7 401;7 652;7 832;7 789;;;;;;;
YEMEN;485;493;358;245;136;85;;;;;;;
ZAMBIE;262;214;209;193;163;167;;;;;;;
ZIMBABWE;213;263;258;256;288;281;;;;;;;
;;;;;;;;;;;;;
TOTAL MONDIAL : ;1 642 953;1 680 594;1 710 945;1 782 188;1 821 519;1 802 382;;;;;;;
