Data
"XL,62,28172.72"
"L,59,36167.64"
"M,61,34165.1"
"L,65,27175.26"
"M,62,45172.72"
"S,50,27160.02"
"M,53,65160.02"
"XXS,51,33160.02"
"M,54,26167.64"
"S,53,32165.1"
"XXXL,63,30170.18"
"XXXL,77,35172.72"
"L,64,26165.1"
"M,52,28160.02"
"L,65,33165.1"
"L,63,30167.64"
"XXS,54,21167.64"
"M,63,27172.72"
"M,63,30167.64"
"S,54,20167.64"
"S,55,32154.94"
"M,55,37160.02"
"S,55,50165.1"
"M,50,43160.02"
"XL,74,29177.8"
"XL,64,32160.02"
"XXS,58,29167.64"
"M,54,47165.1"
"XL,58,31154.94"
"L,65,27172.72"
"S,47,43157.48"
"M,61,27165.1"
"M,58,29172.72"
"XXXL,86,48172.72"
"XL,68,36162.56"
"L,65,27170.18"
"L,65,34170.18"
"M,54,40157.48"
"M,52,45154.94"
"S,52,30170.18"
"XXXL,58,52162.56"
"XXXL,78,37175.26"
"L,61,34172.72"
"S,49,24167.64"
"M,61,28162.56"
"XXXL,64,34162.56"
"S,63,25167.64"
"M,56,32157.48"
"S,50,27170.18"
"XXXL,77,29172.72"
"L,58,32165.1"
"L,65,33165.1"
"XL,61,33167.64"
"M,56,36175.26"
"XXXL,81,27165.1"
"M,49,30162.56"
"L,58,29162.56"
"L,72,28162.56"
"M,63,28172.72"
"XL,58,33157.48"
"XL,65,29165.1"
"XL,60,27167.64"
"L,68,28167.64"
"XL,70,32175.26"
"XL,63,36157.48"
"S,58,36165.1"
"XXXL,79,49167.64"
"M,49,40157.48"
"S,56,22157.48"
"S,59,35175.26"
"XXS,50,32154.94"
"S,53,33162.56"
"M,56,32165.1"
"XXXL,113,27167.64"
"XXXL,88,30162.56"
"XL,68,42165.1"
"XXXL,74,53157.48"
"XXXL,104,34154.94"
"S,58,33162.56"
"M,61,30172.72"
"XXXL,61,69154.94"
"S,54,34160.02"
"L,65,36167.64"
"XXXL,70,35167.64"
"M,54,31162.56"
"XXS,52,31172.72"
"L,63,33167.64"
"XXXL,70,23147.32"
"XXXL,79,32170.18"
"S,49,17167.64"
"M,57,37157.48"
"XXXL,95,43172.72"
"XXXL,72,50170.18"
"M,58,24170.18"
"XL,74,31170.18"
"S,54,36170.18"
"XL,77,30167.64"
"M,63,53167.64"
"XXXL,99,44172.72"
"M,62,30177.8"
"XXXL,81,33185.42"
"L,56,32162.56"
"S,55,26170.18"
"XL,61,30170.18"
"XL,65,27167.64"
"M,61,31170.18"
"L,65,33167.64"
"L,58,29162.56"
"XXXL,72,44175.26"
"XL,63,27162.56"
"L,65,47170.18"
"M,63,31175.26"
"XXXL,80,41170.18"
"L,63,23162.56"
"XL,58,23180.34"
"XL,71,23170.18"
"M,53,29160.02"
"XXXL,81,59162.56"
"XXXL,83,30162.56"
"M,63,34172.72"
"S,54,29157.48"
"XXXL,95,30160.02"
"M,56,28165.1"
"S,61,33165.1"
"XXXL,74,31157.48"
"L,70,26154.94"
"XXXL,72,52170.18"
"L,62,29162.56"
"L,59,39160.02"
"XXS,52,27157.48"
"XXXL,90,59162.56"
"XXXL,72,20167.64"
"XL,63,30165.1"
"M,63,37172.72"
"XXS,47,28154.94"
"M,58,29157.48"
"L,65,33167.64"
"M,62,30157.48"
"M,62,24175.26"
"XL,63,33157.48"
"XL,68,42167.64"
"M,59,31162.56"
"S,56,30172.72"
"M,58,33160.02"
"M,58,31157.48"
"L,65,29172.72"
"XL,65,29180.34"
"XL,68,29162.56"
"L,65,32172.72"
"XXXL,77,43172.72"
"XXS,53,28157.48"
"M,58,36175.26"
"M,54,37152.4"
"S,53,42167.64"
"S,54,41162.56"
"L,66,41170.18"
"S,52,42165.1"
"S,53,32170.18"
"L,58,53160.02"
"M,56,33162.56"
"L,56,33170.18"
"M,56,52162.56"
